ABSTRACT,సంక్షిప్తి
ORDERS – ISSUED.,ఉత్తర్వులు - జారీ చేయడమయింది.
G.O.RT.NO.,జి.ఓ.ఆర్¬టి.నెం.
G.O.MS.NO.,జి.ఓ.ఎంఎస్.నెం.
READ:-,చదవండి :-
READ THE FOLLOWING:-,ఈ క్రింది వాటిని చదవండి :-
REF :-,నిర్ధేశం
ORDER,ఉత్తర్వు
IN THE LETTER FIRST READ ABOVE,పైన పేర్కొన్న 1వ లేఖలో
IN THE LETTER SECOND READ ABOVE,పైన పేర్కొన్న 2వ లేఖలో
IN THE G.O. 1 ST READ ABOVE,పైన పేర్కొన్న 1వ జి.ఓ.లో
IN THE G.O. 2 ND READ ABOVE,పైన పేర్కొన్న 2వ జి.ఓ.లో
IN THE G.O. 3RD READ ABOVE,పైన పేర్కొన్న 3వ జి.ఓ.లో
IN THE REFERENCE 1ST READ ABOVE,పైన పేర్కొన్న 1వ నిర్ధేశంలో
IN THE REFERENCE 2ND READ ABOVE,పైన పేర్కొన్న 2వ నిర్ధేశంలో
IN THE REFERENCE 3RD READ ABOVE,పైన పేర్కొన్న 3వ నిర్ధేశంలో
GOVERNMENT AFTER CAREFUL EXAMINATION OF THE MATTER,ఈ విషయాన్ని ప్రభుత్వం నిశితంగా పరిశీలించిన తరువాత
HEREBY,ఇందుమూలంగా
(BY ORDER IN THE NAME OF GOVERNOR OF ANDHRA PRADESH,(ఆంధ్రప్రదేశ్ గవర్నర్ గారి ఉత్తర్వు మేరకు మరియు వారి పేరిట)
EX-OFFICIO SPECIAL CHIEF SECRETARY TO GOVERNMENT,పదవిరీత్యా ప్రభుత్వ ప్రత్యేక ప్రధాన కార్యదర్శి
CHIEF SECRETARY TO GOVERNMENT,ప్రభుత్వ ప్రధాన కార్యదర్శి
TO:,ఈ క్రింది వారికి :
COPY TO :,ఈ క్రింది వారికి ప్రతులు :
// FORWARDED :: BY ORDER //,// ఉత్తర్వు మేరకు పంపడమయింది //
SECTION OFFICER,విభాగాధికారి
,
"THE P.S. TO CHIEF SECRETARY TO GOVT., A.P.SECRETARIAT.",
"ప్రభుత్వ ప్రధాన కార్యదర్శి గారి ఆంతరంగిక కార్యదర్శి, ఆంధ్రప్రదేశ్ సచివాలయం",
"THE GENERAL ADMINISTRATION (CABINET) DEPT., A.P. SECRETARIAT.","సాధారణ పరిపాలన (మంత్రిమండలి) శాఖ, ఆంధ్రప్రదేశ్ సచివాలయం"
"THE P.S.TO SPL. CHIEF SECRETARY TO HON’BLE CHIEF MINISTER, O/O THE CMO, A.P.SECRETARIAT.","గౌరవ ముఖ్యమంత్రి గారి ప్రత్యేక ప్రధాన కార్యదర్శి గారి ఆంతరంగిక కార్యదర్శి, ముఖ్యమంత్రి కార్యాలయం, ఆంధ్రప్రదేశ్ సచివాలయం"
"THE ACCOUNTANT GENERAL, VIJAYAWADA, ANDHRA PRADESH.","అకౌంటెంట్ జనరల్, విజయవాడ, ఆంధ్రప్రదేశ్"
"THE CHIEF COMMISSIONER OF STATE TAXES, VIJAYAWADA.","రాష్ట్ర పన్నుల ప్రధాన కమీషనర్, విజయవాడ"
"THE P.S. TO SECRETARY TO HON’BLE CHIEF MINISTER, A.P.SECRETARIAT.","గౌరవ ముఖ్యమంత్రిగారి కార్యదర్శి గారి ఆంతరంగిక కార్యదర్శి, ఆంధ్రప్రదేశ్ సచివాలయం"
"THE PAY & ACCOUNTS OFFICER, A.P., MANGALAGIRI.","ఖాతాలు & చెల్లింపుల అధికారి, ఆంధ్రప్రదేశ్, మంగళగిరి"
"THE DY. PAY AND ACCOUNTS OFFICER, A.P. SECRETARIAT, VELAGAPUDI.","ఉప-ఖాతాలు & చెల్లింపుల అధికారి, ఆంధ్రప్రదేశ్ సచివాలయం, వెలగపూడి"
"THE ESTATE OFFICER, ESTATE OFFICE, VIJAYAWADA.","ఎస్టేట్ అధికారి, ఎస్టేట్ కార్యాలయం, విజయవాడ"
PRINCIPAL SECRETARY TO GOVERNMENT,ప్రభుత్వ ముఖ్య కార్యదర్శి
AGRICULTURE & CO-OPERATION DEPARTMENT,వ్యవసాయ & సహకార శాఖ
ANIMAL HUSBANDRY & FISHERIES DEPARTMENT,పశు సంవర్ధక & మత్స్య శాఖ
BACK WARD CLASSES WELFARE DEPARTMENT,వెనుకబడిన తరగతుల సంక్షేమ శాఖ
"CONSUMER AFFAIRS, FOOD AND CIVIL SUPPLIES DEPARTMENT","వినియోగదారు వ్యవహారాలు, ఆహార & పౌర సరఫరాల శాఖ"
DISASTER MANAGEMENT DEPARTMENT,విపత్తు నిర్వహణ శాఖ
ECONOMICALLY WEAKER SECTIONS WELFARE DEPARTMENT,ఆర్ధికంగా వెనుకబడిన తరగతుల సంక్షేమ శాఖ
ENERGY DEPARTMENT,ఇంధన శాఖ
"ENERGY, INFRASTRUCTURE & INVESTMENT DEPARTMENT","ఇంధన, మౌలిక సదుపాయాలు & పెట్టుబడుల శాఖ"
"ENVIRONMENT FOREST, SCIENCE & TECHNOLOGY DEPARTMENT","పర్యావరణ, అటవీ, శాస్త్ర, సాంకేతిక విజ్ఞాన శాఖ"
FINANCE DEPARTMENT,ఆర్ధిక శాఖ
FINANCE PMU DEPARTMENT,ఆర్ధిక (పిఎంయు) శాఖ
FINANCE WORKS & PROJECTS DEPARTMENT,ఆర్ధిక పనులు & ప్రాజెక్టుల శాఖ
GENERAL ADMINISTRATION DEPARTMENT,సాధారణ పరిపాలన శాఖ
"GRAMA VOLUNTEERS, WARD VOLUNTEERS &",
"GRAMA SACHIVALAYAM, WARD SACHIVALAYAM DEPARTMENT","గ్రామ వాలంటీర్లు, వార్డు వాలంటీర్లు & గ్రామ సచివాలయం, వార్డు సచివాలయం శాఖ"
"HEALTH, MEDICAL & FAMILY WELFARE DEPARTMENT","ఆరోగ్య, వైద్య & కుటుంబ సంక్షేమ శాఖ"
HIGHER EDUCATION DEPARTMENT,ఉన్నత విద్యా శాఖ
HOME DEPARTMENT,హోం శాఖ
HOUSING DEPARTMENT,గృహనిర్మాణ శాఖ
INDUSTRIES AND COMMERCE DEPARTMENT,పరిశ్రమలు మరియు వాణిజ్య శాఖ
INFRASTRUCTURE & INVESTMENT DEPARTMENT,మౌలిక సదుపాయాలు & పెట్టుబడుల శాఖ
"INFORMATION TECHNOLOGY, ELECTRONICS & COMMUNICATIONS DEPARTMENT","ఇన్¬ఫర్మేషన్ టెక్నాలజీ, ఎలక్ట్రానిక్స్ & కమ్యూనికేషన్ల శాఖ"
IRRIGATION AND CAD PW WING DEPARTMENT,నీటి పారుదల మరియు సిఏడి పిడబ్ల్యు శాఖ
"LABOUR, EMPLOYMENT, TRAINING & FACTORIES DEPARTMENT","కార్మిక, ఉపాధికల్పన, శిక్షణ & కర్మాగారాల శాఖ"
"LABOUR, FACTORIES, BOILERS INSURANCE MEDICAL SERVICES DEPARTMENT","కార్మిక, కర్మాగారాలు, బాయిలర్లు, బీమా వైద్య సేవల శాఖ"
LAW DEPARTMENT,న్యాయ శాఖ
MINORITIES WELFARE DEPARTMENT,అల్పసంఖ్యాక వర్గాల సంక్షేమ శాఖ
MUNICIPAL ADMINISTRATION & URBAN DEVELOPMENT DEPARTMENT,పురపాలక పరిపాలన & పట్టణాభివృద్ధి శాఖ
